City,Year,Cityyear,UHI,City2,Country,Year3,Cityyear4,WCH,environmental firms,GVAAgr,GVAConst,GVAConstrs,GVAFire,GVAManufElec,GVAManufElecpc,GVAAdmin,GVAAdminpc,GVA,GDP,Publictranspopass,Density,Densityrs,Population,Income,Gini,GVAAgrpc,GVAConstpc,GVAConstpcrs,GVAFirepc,Populationpc,Incomepc,IncomepcSQ,CO,NO2,PM10,PM10pc,PM2.5,SO2,green bonds issued,Long,Lat
Washington,2017,Washington2017,1.246533931,Washington,USA,2017,Washington2017,977,268,1.1804,152.6956,1.526956,187.44082,125.3896,2.031390338,134.03542,2.171458057,403.4328,430.64696,4.603795,3.817,0.03817,61.726,298.05988,42.9,19.14,247.372,2.47372,303.6636,396.496,4.828724,233165.7547,0.3,35.6,11.3,0.183067103,7.4,1.3,0,-77.03687009,38.90719062
Washington,2016,Washington2016,1.24725386,Washington,USA,2016,Washington2016,977,268,1.1152,148.0616,1.480616,178.5796,122.3474,2.002248588,129.55538,2.120209148,388.18978,415.0482,4.631536,3.779,0.03779,61.105,286.74584,42.9,18.22,242.308,2.42308,292.25,384.1474,4.692666,220211.1419,0.4,41.1,12.6,0.206202438,7.8,1.8,0,-77.03687009,38.90719062
Boston,2017,Boston2017,1.596231975,Boston,USA,2017,Boston2017,1608,94,2.7802,101.077,1.01077,160.94562,313.8322,6.581223,78.86808,1.653904291,334.90744,357.33406,4.240568,5.279,0.05279,47.686,242.94428,46.4,58.26,211.964,2.11964,337.5096,409.9292,5.094646,259554.1787,0.2,27.6,10.1,0.211802206,5.2,1.6,143.4605,-71.05887882,42.36008215
Boston,2016,Boston2016,1.557471986,Boston,USA,2016,Boston2016,1608,94,2.7212,97.6638,0.976638,152.20946,315.1398,6.648659254,76.70888,1.618364944,322.37204,344.41812,4.212706,5.248,0.05248,47.399,235.16888,46.4,57.44,206.048,2.06048,321.1264,398.4806,4.961512,246166.0133,0.3,30.4,11,0.232072407,5.9,1.5,77.7105,-71.05887882,42.36008215
Boston,2015,Boston2015,1.494930443,Boston,USA,2015,Boston2015,1608,94,2.889,92.0168,0.920168,145.7964,315.6594,6.701044453,74.59684,1.583595296,311.65904,333.10512,4.151841,5.215,0.05215,47.106,229.51284,46.4,61.36,195.34,1.9534,309.51,388.49,4.87231,237394.0474,0.2,34.1,12.2,0.258990362,6.2,2.2,13.5835,-71.05887882,42.36008215
Boston,2014,Boston2014,1.547851745,Boston,USA,2014,Boston2014,1608,94,2.9466,83.9914,0.839914,135.99468,307.794,6.568654232,71.40218,1.523799138,294.74736,315.09696,4.179467,5.188,0.05188,46.858,216.76754,46.4,62.88,179.244,1.79244,290.227,372.3668,4.626048,214003.201,0.3,36.6,12.4,0.264629306,6.2,3.4,0,-71.05887882,42.36008215
Boston,2013,Boston2013,1.513246623,Boston,USA,2013,Boston2013,1608,94,3.7786,80.064,0.80064,130.68998,294.4784,6.32511545,68.58178,1.473071289,283.88644,303.67892,4.037341,5.154,0.05154,46.557,208.85566,46.3,81.16,171.968,1.71968,280.7116,362.4396,4.486052,201246.6255,0.3,37.6,14.7,0.315741994,7.2,2.9,0,-71.05887882,42.36008215
Boston,2012,Boston2012,1.629445406,Boston,USA,2012,Boston2012,1608,94,4.2906,74.2668,0.742668,127.8962,293.6218,6.350501774,66.85022,1.445847824,277.2646,296.70934,4.097495,5.119,0.05119,46.236,210.66228,46.3,92.76,160.628,1.60628,276.6148,357.977,4.556214,207590.8601,0.3,33.5,13.4,0.289817458,7.8,3.5,0,-71.05887882,42.36008215
Boston,2011,Boston2011,1.523252662,Boston,USA,2011,Boston2011,1608,94,4.0952,68.3406,0.683406,119.70692,284.7122,6.198288849,65.852,1.433622154,265.93318,284.94058,3.893376,5.085,0.05085,45.934,204.04692,46.4,89.18,148.778,1.48778,260.6066,344.1396,4.442178,197329.4538,0.3,37.5,13.3,0.28954587,8.2,5,0,-71.05887882,42.36008215
Washington,2015,Washington2015,1.237112635,Washington,USA,2015,Washington2015,977,268,1.2316,140.3828,1.403828,172.66944,128.3248,2.123703765,126.10992,2.087048738,378.58046,405.1301,4.698005,3.737,0.03737,60.425,277.36368,42.9,20.4,232.324,2.32324,285.7568,372.6162,4.59019,210698.4424,0.4,40.7,13.8,0.228382292,9.3,2.4,0,-77.03687009,38.90719062
Washington,2014,Washington2014,1.192222297,Washington,USA,2014,Washington2014,977,268,1.4202,133.6602,1.336602,165.59786,118.8004,1.986030961,122.54426,2.048618476,364.07116,389.63856,4.703922,3.699,0.03699,59.818,265.65172,42.8,23.72,223.448,2.23448,276.8366,361.595,4.44101,197225.6982,0.4,40.5,12.9,0.215654151,8.7,3,0,-77.03687009,38.90719062
Washington,2012,Washington2012,1.289198586,Washington,USA,2012,Washington2012,977,268,1.7982,124.2422,1.242422,158.65982,134.5942,2.306511979,117.98682,2.021914864,353.90512,378.72468,4.854476,3.608,0.03608,58.354,264.18392,42.3,30.82,212.914,2.12914,271.8938,355.6028,4.527294,204963.9096,0.5,42.4,14,0.239915002,9.4,2.3,0,-77.03687009,38.90719062
Washington,2013,Washington2013,1.238233561,Washington,USA,2013,Washington2013,977,268,2.07,128.782,1.28782,160.40528,123.4456,2.086639621,119.706,2.023427992,357.05632,381.95018,4.734153,3.658,0.03658,59.16,256.88602,42.7,35.02,217.682,2.17682,271.139,353.5448,4.342244,188550.8296,0.4,39.3,13.7,0.231575389,8.7,2,0,-77.03687009,38.90719062
Washington,2011,Washington2011,1.183702667,Washington,USA,2011,Washington2011,977,268,1.8758,113.3162,1.133162,153.50398,143.1034,2.490053941,116.09762,2.020143031,346.75064,371.53444,4.784639,3.554,0.03554,57.47,256.0937,42.6,32.62,197.176,1.97176,267.1012,343.884,4.456106,198568.8068,0.5,43.3,15,0.261005742,9.8,3.7,0,-77.03687009,38.90719062
Washington,2010,Washington2010,1.198829353,Washington,USA,2010,Washington2010,977,268,1.4594,108.055,1.08055,147.52034,148.4528,2.629624119,113.26888,2.006392461,338.05948,362.22616,4.761756,3.491,0.03491,56.454,244.24434,42.3,25.88,191.404,1.91404,261.3094,338.667,4.32641,187178.2349,0.6,47.1,17.1,0.302901477,10.5,5.7,0,-77.03687009,38.90719062
Washington,2008,Washington2008,1.291699266,Washington,USA,2008,Washington2008,977,268,1.6266,127.6354,1.276354,140.38038,113.6708,2.081844655,102.3233,1.874018791,317.02118,339.77338,4.817763,3.376,0.03376,54.601,232.61062,41.9,29.78,233.758,2.33758,257.102,335.276,4.260182,181491.5067,0.5,46.1,17.9,0.327832824,11.6,9.4,0,-77.03687009,38.90719062
Washington,2007,Washington2007,1.202279277,Washington,USA,2007,Washington2007,977,268,1.4738,132.652,1.32652,133.13636,117.9626,2.19061821,98.43914,1.828058831,307.25668,329.38044,4.651308,3.33,0.0333,53.849,223.84628,41.9,27.34,246.342,2.46342,247.2396,337.5418,4.156922,172800.0051,0.6,49.8,20.2,0.375123029,13.2,10,0,-77.03687009,38.90719062
Washington,2009,Washington2009,1.251108912,Washington,USA,2009,Washington2009,977,268,1.4132,111.8792,1.118792,141.62964,129.4652,2.332118024,107.3763,1.934220197,322.56714,345.66692,4.952678,3.433,0.03433,55.514,236.20718,41.9,25.44,201.53,2.0153,255.1224,329.5522,4.254886,181040.5487,0.5,47.1,15.9,0.286414238,9.8,8,0,-77.03687009,38.90719062
Washington,2006,Washington2006,1.287951375,Washington,USA,2006,Washington2006,977,268,1.4474,137.0952,1.370952,125.30894,117.3662,2.207500893,93.55828,1.759705833,295.53156,316.92514,4.609878,3.288,0.03288,53.167,217.02258,42.7,27.22,257.862,2.57862,235.6898,327.3304,4.081914,166620.219,0.7,51.2,20.8,0.391220118,12.7,10,0,-77.03687009,38.90719062
Boston,2010,Boston2010,1.626617321,Boston,USA,2010,Boston2010,1608,94,4.6336,64.9994,0.649994,115.38666,285.9136,6.268522944,63.27556,1.387287277,257.8993,276.3356,3.638624,5.05,0.0505,45.611,198.17144,45.8,101.56,142.508,1.42508,252.9772,340.8036,4.344772,188770.4373,0.3,35.4,13.3,0.291596325,8,6,0,-71.05887882,42.36008215
Washington,2005,Washington2005,1.218545779,Washington,USA,2005,Washington2005,977,268,1.6,134.618,1.34618,118.35568,114.3348,2.182045116,90.14778,1.720443147,284.32804,304.54338,4.615028,3.24,0.0324,52.398,204.6332,42.8,30.54,256.916,2.56916,225.8788,317.2828,3.905368,152518.9922,0.6,56.4,22,0.419863354,14.4,12.9,0,-77.03687009,38.90719062
Boston,2009,Boston2009,1.604546361,Boston,USA,2009,Boston2009,1608,94,4.2228,66.8276,0.668276,111.58748,263.3622,5.810528406,60.54086,1.335705681,246.77844,264.45078,3.755398,5.018,0.05018,45.325,192.0797,45.1,93.16,147.436,1.47436,246.1916,329.9746,4.23779,179588.6408,0.3,36.1,15.4,0.33976834,8.7,6.1,0,-71.05887882,42.36008215
Boston,2008,Boston2008,1.654569261,Boston,USA,2008,Boston2008,1608,94,4.0368,77.03,0.7703,111.61872,265.9354,5.908493857,59.0786,1.312595259,247.67232,265.44742,3.779988,4.983,0.04983,45.009,187.88914,45.4,89.7,171.146,1.71146,247.9936,331.8724,4.174514,174265.6714,0.3,38.9,16,0.355484459,9.6,9.3,0,-71.05887882,42.36008215
Boston,2007,Boston2007,1.570308757,Boston,USA,2007,Boston2007,1608,94,3.864,79.7478,0.797478,107.96482,294.0266,6.56998637,56.62742,1.26533238,244.6191,262.2327,3.641931,4.955,0.04955,44.753,181.40116,45.1,86.36,178.198,1.78198,241.246,332.3958,4.053388,164299.5428,0.3,39.2,16.4,0.36645588,9.9,9.9,0,-71.05887882,42.36008215
Boston,2005,Boston2005,1.721981616,Boston,USA,2005,Boston2005,1608,94,2.8758,84.03,0.8403,96.8385,260.262,5.847007549,50.68214,1.138617451,222.6561,238.48668,4.015423,4.928,0.04928,44.512,163.81178,45.9,64.62,188.78,1.8878,217.5556,305.1648,3.680164,135436.0707,0.3,41.3,20.4,0.458303379,11.1,10.6,0,-71.05887882,42.36008215
Boston,2006,Boston2006,1.639289797,Boston,USA,2006,Boston2006,1608,94,3.466,82.0108,0.820108,102.58132,267.6824,6.002520462,53.14728,1.191776657,231.89992,248.68718,3.866741,4.937,0.04937,44.595,175.85492,45.7,77.72,183.902,1.83902,230.0266,320.1576,3.943342,155499.4613,0.4,39.2,17.1,0.38345106,9.4,9,0,-71.05887882,42.36008215
Philadelphia,2009,Philadelphia2009,1.260257816,Philadelphia,USA,2009,Philadelphia2009,1000,119,3.76,85.8552,0.858552,111.16222,319.434,5.374509969,63.08106,1.061345335,267.25346,286.39208,3.689023,4.986,0.04986,59.435,208.12038,46,63.28,144.452,1.44452,187.031,288.8124,3.501636,122614.5468,0.3,54.2,20.4,0.343232102,11.2,7.9,0,-75.16522039,39.95258227
Montreal,2017,Montreal2017,1.922904514,Montreal,Canada,2017,Montreal2017,1238,102,2.3552,33.6278,0.336278,20.88092,121.3873,2.845392747,14.5637,0.341382059,66.62664,70.60403,5.32733,9.266,0.09266,42.661,49.26174,39.7,55.21,78.826,0.78826,48.9458,120.3259,1.154716,13333.69041,,,,,,,0,-73.56725694,45.50168828
Philadelphia,2012,Philadelphia2012,1.14732571,Philadelphia,USA,2012,Philadelphia2012,1000,119,5.207,102.102,1.02102,120.76862,313.543,5.213465024,67.16104,1.11672636,287.29242,307.44038,3.867454,5.046,0.05046,60.141,229.2782,47.2,86.58,169.774,1.69774,200.8094,313.6476,3.812344,145339.6677,0.3,47.1,19.7,0.327563559,10,3.1,0,-75.16522039,39.95258227
Montreal,2016,Montreal2016,1.825750145,Montreal,Canada,2016,Montreal2016,1238,102,2.3359,32.2361,0.322361,19.40395,118.2027,2.793597561,13.99123,0.330668132,62.92613,66.83922,5.179,9.19,0.0919,42.312,46.89025,39.7,55.21,76.187,0.76187,45.8587,115.2315,1.108193,12280.91725,0.2,19.9,,,7.1,2.2,0,-73.56725694,45.50168828
Montreal,2015,Montreal2015,1.875237802,Montreal,Canada,2015,Montreal2015,1238,102,2.006,29.9919,0.299919,19.48027,122.7601,2.932004586,14.10153,0.336801213,62.97763,66.89198,5.147,9.094,0.09094,41.869,47.58406,39.7,47.92,71.631,0.71631,46.5264,114.3637,1.136488,12916.04974,0.3,23.6,,,8.2,1.8,0,-73.56725694,45.50168828
Montreal,2014,Montreal2014,2.485784349,Montreal,Canada,2014,Montreal2014,1238,102,2.7669,35.4221,0.354221,19.6941,128.1957,3.082813101,15.64047,0.376117497,66.35366,70.54819,5.17461,9.032,0.09032,41.584,48.64446,39.7,66.55,85.182,0.85182,47.3599,118.9768,1.169788,13684.03965,0.3,24.3,15.5,0.372739515,8.6,2.7,0,-73.56725694,45.50168828
Montreal,2013,Montreal2013,1.852739461,Montreal,Canada,2013,Montreal2013,1238,102,2.5732,39.1914,0.391914,19.85272,131.6096,3.194795485,15.80032,0.38354946,67.46108,71.79385,5.16131,8.947,0.08947,41.195,49.17328,39.7,62.46,95.136,0.95136,48.1916,119.6303,1.193659,14248.21808,0.4,25.3,16.5,0.400534045,9.7,2.8,0,-73.56725694,45.50168828
Montreal,2012,Montreal2012,1.791219622,Montreal,Canada,2012,Montreal2012,1238,102,1.2727,40.3571,0.403571,19.8204,135.3459,3.318928396,15.78877,0.387169446,67.70132,72.02969,5.11524,8.857,0.08857,40.78,48.21189,39.9,31.23,98.963,0.98963,48.6031,118.7299,1.182238,13976.86689,0.3,26.3,15.3,0.375183914,9.9,4.4,0,-73.56725694,45.50168828
